Using torch device NVIDIA GeForce RTX 2080 Ti
tensor([0, 1, 2], device='cuda:0')
passed gpu check
Starting run:
5ef08ce8aa1c438cba50aa2d18731ce8
N: 	20000
MODEL: 	cc
ABSTRACT_PEN: 	1.0
FINE_TUNE: 	False
MUZERO: 	False
params=Namespace(note='', n=20000, b=10, abstract_pen=1.0, model='cc', seed=1, lr=0.0008, abstract_dim=32, tau_noise_std=0.0, freeze=False, load=False, ellis=False, no_log=False, fine_tune=False, tau_precompute=False, replace_trans_net=False, batch_norm=False, no_tau_norm=False, relational_micro=False, toy_test=False, separate_option_nets=False, gumbel=False, g_start_temp=1, g_stop_temp=1, num_categories=8, shrink_micro_net=False, shrink_loss_scale=1, solution_length=(1, 2, 3, 4), muzero=False, muzero_scratch=False, num_test=200, test_every=60, save_every=180, neurosym=True, cc_neurosym=False, sv_options=False, sv_options_net_fc=False, dim=64, num_attn_blocks=2, num_heads=4, symbolic_supervised=True, traj_updates=400000000.0, batch_size=128, model_load_path='models/e14b78d01cc548239ffd57286e59e819.pt', gumbel_sched=False, device='NVIDIA GeForce RTX 2080 Ti', id='5ef08ce8aa1c438cba50aa2d18731ce8')
wandb: Currently logged in as: simonalford42. Use `wandb login --relogin` to force relogin
wandb: wandb version 0.13.2 is available!  To upgrade, please run:
wandb:  $ pip install wandb --upgrade
wandb: Tracking run with wandb version 0.12.21
wandb: Run data is saved locally in /home/sca63/abstraction/wandb/run-20220831_163319-3su8s1el
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run ruby-snow-333
wandb: ⭐️ View project at https://wandb.ai/simonalford42/abstraction
wandb: 🚀 View run at https://wandb.ai/simonalford42/abstraction/runs/3su8s1el
100000 examples
Net has 158214 parameters
train_loss=0.4569407670911687, acc=0.97701, negative_acc=tensor(0.9999, device='cuda:0'), positive_acc=tensor(0.9981, device='cuda:0')
train_loss=0.44793739187196024, acc=0.97952, negative_acc=tensor(0.9999, device='cuda:0'), positive_acc=tensor(0.9983, device='cuda:0')
train_loss=0.7019283166975185, acc=0.98, negative_acc=tensor(0.9999, device='cuda:0'), positive_acc=tensor(0.9983, device='cuda:0')
train_loss=0.009143705152595771, acc=0.99948, negative_acc=tensor(1.0000, device='cuda:0'), positive_acc=tensor(1.0000, device='cuda:0')
train_loss=0.6061827737285626, acc=0.98679, negative_acc=tensor(1.0000, device='cuda:0'), positive_acc=tensor(0.9989, device='cuda:0')
train_loss=0.08011887545814034, acc=0.99504, negative_acc=tensor(1.0000, device='cuda:0'), positive_acc=tensor(0.9996, device='cuda:0')
train_loss=0.2923244594157097, acc=0.98979, negative_acc=tensor(1.0000, device='cuda:0'), positive_acc=tensor(0.9991, device='cuda:0')
train_loss=5.625580991264201e-05, acc=1.0, negative_acc=tensor(1., device='cuda:0'), positive_acc=tensor(1., device='cuda:0')
train_loss=0.0002100966905942414, acc=1.0, negative_acc=tensor(1., device='cuda:0'), positive_acc=tensor(1., device='cuda:0')
train_loss=0.0002771928417040215, acc=1.0, negative_acc=tensor(1., device='cuda:0'), positive_acc=tensor(1., device='cuda:0')
train_loss=0.01569292958734536, acc=0.9991, negative_acc=tensor(1.0000, device='cuda:0'), positive_acc=tensor(0.9999, device='cuda:0')
train_loss=0.00012829463984154188, acc=1.0, negative_acc=tensor(1., device='cuda:0'), positive_acc=tensor(1., device='cuda:0')
train_loss=1.9550635852461085e-06, acc=1.0, negative_acc=tensor(1., device='cuda:0'), positive_acc=tensor(1., device='cuda:0')
train_loss=0.00034733126613417653, acc=1.0, negative_acc=tensor(1., device='cuda:0'), positive_acc=tensor(1., device='cuda:0')
train_loss=0.05703850371395447, acc=0.99687, negative_acc=tensor(1.0000, device='cuda:0'), positive_acc=tensor(0.9997, device='cuda:0')
train_loss=1.7293541239915555e-05, acc=1.0, negative_acc=tensor(1., device='cuda:0'), positive_acc=tensor(1., device='cuda:0')
train_loss=7.082084794785004e-05, acc=1.0, negative_acc=tensor(1., device='cuda:0'), positive_acc=tensor(1., device='cuda:0')
train_loss=0.01365217214519987, acc=0.99915, negative_acc=tensor(1.0000, device='cuda:0'), positive_acc=tensor(0.9999, device='cuda:0')
train_loss=0.012785159739280516, acc=0.99949, negative_acc=tensor(1.0000, device='cuda:0'), positive_acc=tensor(1.0000, device='cuda:0')
train_loss=0.0007419953175258343, acc=1.0, negative_acc=tensor(1., device='cuda:0'), positive_acc=tensor(1., device='cuda:0')
train_loss=1.2542959076489169e-05, acc=1.0, negative_acc=tensor(1., device='cuda:0'), positive_acc=tensor(1., device='cuda:0')
train_loss=0.0001033704899136012, acc=1.0, negative_acc=tensor(1., device='cuda:0'), positive_acc=tensor(1., device='cuda:0')
train_loss=1.8598489276433088, acc=0.98072, negative_acc=tensor(0.9999, device='cuda:0'), positive_acc=tensor(0.9981, device='cuda:0')
train_loss=7.052402501628308e-05, acc=1.0, negative_acc=tensor(1., device='cuda:0'), positive_acc=tensor(1., device='cuda:0')
train_loss=0.0007681197968523179, acc=1.0, negative_acc=tensor(1., device='cuda:0'), positive_acc=tensor(1., device='cuda:0')
train_loss=0.0007233102004136072, acc=1.0, negative_acc=tensor(1., device='cuda:0'), positive_acc=tensor(1., device='cuda:0')
train_loss=1.3819863468933491e-05, acc=1.0, negative_acc=tensor(1., device='cuda:0'), positive_acc=tensor(1., device='cuda:0')
train_loss=5.9856849534689616e-05, acc=1.0, negative_acc=tensor(1., device='cuda:0'), positive_acc=tensor(1., device='cuda:0')
train_loss=0.00022802064678728584, acc=1.0, negative_acc=tensor(1., device='cuda:0'), positive_acc=tensor(1., device='cuda:0')
train_loss=5.023941230641871e-06, acc=1.0, negative_acc=tensor(1., device='cuda:0'), positive_acc=tensor(1., device='cuda:0')
train_loss=8.830610161072311e-08, acc=1.0, negative_acc=tensor(1., device='cuda:0'), positive_acc=tensor(1., device='cuda:0')
train_loss=7.818511480600643e-09, acc=1.0, negative_acc=tensor(1., device='cuda:0'), positive_acc=tensor(1., device='cuda:0')
train_loss=2.431787001801189e-09, acc=1.0, negative_acc=tensor(1., device='cuda:0'), positive_acc=tensor(1., device='cuda:0')
train_loss=1.2475124787358904e-09, acc=1.0, negative_acc=tensor(1., device='cuda:0'), positive_acc=tensor(1., device='cuda:0')
train_loss=6.927431085365643e-10, acc=1.0, negative_acc=tensor(1., device='cuda:0'), positive_acc=tensor(1., device='cuda:0')
train_loss=4.886569733922319e-10, acc=1.0, negative_acc=tensor(1., device='cuda:0'), positive_acc=tensor(1., device='cuda:0')
