Starting run:
8c2f0916633948e9a880a83cdecaaaf3
N: 	20000
MODEL: 	cc
ABSTRACT_PEN: 	1.0
FINE_TUNE: 	False
MUZERO: 	False
params=Namespace(n=20000, b=10, abstract_pen=1.0, model='cc', seed=1, lr=0.0008, abstract_dim=32, tau_noise_std=0.0, freeze=False, load=False, ellis=False, no_log=False, fine_tune=False, tau_precompute=False, replace_trans_net=False, batch_norm=False, no_tau_norm=False, relational_micro=False, toy_test=False, separate_option_nets=False, gumbel=False, g_start_temp=1, g_stop_temp=1, num_categories=8, shrink_micro_net=False, shrink_loss_scale=1, length=(4,), muzero=False, muzero_scratch=False, num_test=200, test_every=60, save_every=180, neurosym=True, dim=128, num_attn_blocks=4, num_heads=8, traj_updates=500000000.0, batch_size=128, model_load_path='models/e14b78d01cc548239ffd57286e59e819.pt', gumbel_sched=False, device='NVIDIA GeForce RTX 2080 Ti', id='8c2f0916633948e9a880a83cdecaaaf3')
wandb: Currently logged in as: simonalford42. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.12.21
wandb: Run data is saved locally in /home/sca63/abstraction/wandb/run-20220801_143444-1ccvfolv
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run glad-oath-140
wandb: ⭐️ View project at https://wandb.ai/simonalford42/abstraction
wandb: 🚀 View run at https://wandb.ai/simonalford42/abstraction/runs/1ccvfolv
Net has 251670 parameters
loss=tensor(0.0010, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.67247
loss=tensor(0.0012, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.68446
loss=tensor(0.0012, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.68273
loss=tensor(0.0012, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.68185
loss=tensor(0.0009, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.69388
loss=tensor(0.0009, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.69289
loss=tensor(0.0011, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.70303
loss=tensor(0.0008, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.69339
loss=tensor(0.0018, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.7129
loss=tensor(0.0011, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.70371
loss=tensor(0.0010, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.71105
loss=tensor(0.0009, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.71334
loss=tensor(0.0019, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.71008
loss=tensor(0.0009, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.71274
loss=tensor(0.0016, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.71479
loss=tensor(0.0018, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.71839
loss=tensor(0.0015, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.72727
loss=tensor(0.0017, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.72839
loss=tensor(0.0008, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.72667
loss=tensor(0.0013, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.7352
loss=tensor(0.0013, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.73685
loss=tensor(0.0009, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.73827
loss=tensor(0.0008, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.74521
