Starting run:
623e1f68e19745b38498034accc0fc59
N: 	20000
MODEL: 	cc
ABSTRACT_PEN: 	1.0
FINE_TUNE: 	False
MUZERO: 	False
params=Namespace(n=20000, b=10, abstract_pen=1.0, model='cc', seed=1, lr=0.0008, abstract_dim=32, tau_noise_std=0.0, freeze=False, load=False, ellis=False, no_log=False, fine_tune=False, tau_precompute=False, replace_trans_net=False, batch_norm=False, no_tau_norm=False, relational_micro=False, toy_test=False, separate_option_nets=False, gumbel=False, g_start_temp=1, g_stop_temp=1, num_categories=8, shrink_micro_net=False, shrink_loss_scale=1, length=(4,), muzero=False, muzero_scratch=False, num_test=200, test_every=60, save_every=180, neurosym=True, dim=128, num_attn_blocks=4, num_heads=4, traj_updates=500000000.0, batch_size=128, model_load_path='models/e14b78d01cc548239ffd57286e59e819.pt', gumbel_sched=False, device='NVIDIA GeForce RTX 2080 Ti', id='623e1f68e19745b38498034accc0fc59')
wandb: Currently logged in as: simonalford42. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.12.21
wandb: Run data is saved locally in /home/sca63/abstraction/wandb/run-20220801_143443-1v6vmzzx
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run upbeat-totem-139
wandb: ⭐️ View project at https://wandb.ai/simonalford42/abstraction
wandb: 🚀 View run at https://wandb.ai/simonalford42/abstraction/runs/1v6vmzzx
Net has 251670 parameters
loss=tensor(0.0382, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.0
loss=tensor(0.0233, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.0
loss=tensor(0.0141, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.0031
loss=tensor(0.0112, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.02441
loss=tensor(0.0088, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.06462
loss=tensor(0.0074, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.10379
loss=tensor(0.0060, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.13723
loss=tensor(0.0060, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.17835
loss=tensor(0.0055, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.20951
loss=tensor(0.0045, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.24148
loss=tensor(0.0055, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.26956
loss=tensor(0.0051, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.29645
loss=tensor(0.0038, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.31503
loss=tensor(0.0042, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.33221
loss=tensor(0.0027, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.34844
loss=tensor(0.0030, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.36922
loss=tensor(0.0034, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.38459
loss=tensor(0.0033, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.39464
loss=tensor(0.0042, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.41231
loss=tensor(0.0024, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.41752
loss=tensor(0.0037, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.43328
loss=tensor(0.0034, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.44024
loss=tensor(0.0029, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.45313
loss=tensor(0.0028, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.4605
loss=tensor(0.0021, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.4723
loss=tensor(0.0029, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.47992
