Starting run:
f03943376cbf4b67b7e083b88774a1d8
N: 	20000
MODEL: 	cc
ABSTRACT_PEN: 	1.0
FINE_TUNE: 	False
MUZERO: 	False
params=Namespace(n=20000, b=10, abstract_pen=1.0, model='cc', seed=1, lr=0.0008, abstract_dim=32, tau_noise_std=0.0, freeze=False, load=False, ellis=False, no_log=False, fine_tune=False, tau_precompute=False, replace_trans_net=False, batch_norm=False, no_tau_norm=False, relational_micro=False, toy_test=False, separate_option_nets=False, gumbel=False, g_start_temp=1, g_stop_temp=1, num_categories=8, shrink_micro_net=False, shrink_loss_scale=1, length=(4,), muzero=False, muzero_scratch=False, num_test=200, test_every=60, save_every=180, neurosym=True, dim=128, num_attn_blocks=4, num_heads=16, traj_updates=500000000.0, batch_size=128, model_load_path='models/e14b78d01cc548239ffd57286e59e819.pt', gumbel_sched=False, device='NVIDIA GeForce RTX 2080 Ti', id='f03943376cbf4b67b7e083b88774a1d8')
wandb: Currently logged in as: simonalford42. Use `wandb login --relogin` to force relogin
wandb: wandb version 0.13.0 is available!  To upgrade, please run:
wandb:  $ pip install wandb --upgrade
wandb: Tracking run with wandb version 0.12.21
wandb: Run data is saved locally in /home/sca63/abstraction/wandb/run-20220803_135852-f1uqc0vj
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run blooming-thunder-149
wandb: ⭐️ View project at https://wandb.ai/simonalford42/abstraction
wandb: 🚀 View run at https://wandb.ai/simonalford42/abstraction/runs/f1uqc0vj
Net has 251670 parameters
loss=tensor(0.0014, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.66913
loss=tensor(0.0015, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.67411
loss=tensor(0.0007, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.66924
loss=tensor(0.0017, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.67824
loss=tensor(0.0014, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.67194
loss=tensor(0.0017, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.68015
loss=tensor(0.0022, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.67957
loss=tensor(0.0012, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.69737
loss=tensor(0.0027, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.69933
loss=tensor(0.0011, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.69317
loss=tensor(0.0007, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.69719
loss=tensor(0.0010, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.70499
loss=tensor(0.0015, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.69902
loss=tensor(0.0008, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.7
loss=tensor(0.0007, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.70593
loss=tensor(0.0014, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.71307
loss=tensor(0.0012, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.71337
loss=tensor(0.0012, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.72011
loss=tensor(0.0012, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.71842
loss=tensor(0.0014, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.71339
loss=tensor(0.0010, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.71566
loss=tensor(0.0013, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.72246
loss=tensor(0.0015, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.72641
loss=tensor(0.0013, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.72269
loss=tensor(0.0011, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.73471
loss=tensor(0.0008, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.72568
loss=tensor(0.0013, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.72808
loss=tensor(0.0018, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.73552
loss=tensor(0.0009, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.73655
loss=tensor(0.0014, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.74159
loss=tensor(0.0014, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.72412
loss=tensor(0.0011, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.73658
loss=tensor(0.0012, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.74704
loss=tensor(0.0009, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.75178
loss=tensor(0.0005, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.74684
loss=tensor(0.0014, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.74137
loss=tensor(0.0011, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.74888
loss=tensor(0.0015, device='cuda:0', grad_fn=<BinaryCrossEntropyBackward0>), acc=0.76145
